> adb shell getprop
code=0 signal=null
[ro.boot.carrierid]: [EUX]
[ro.boot.carrierid.param.offset]: [7340596]
[ro.boot.cm.param.offset]: [7340592]
[ro.boot.cp_reserved_mem]: [off]
[ro.boot.ddr_size]: [8]
[ro.boot.debug_level]: [0x4f4c]
[ro.boot.dram_info]: [01,08,00,8G]
[ro.boot.dtbo_idx]: [7]
[ro.boot.dynamic_partitions]: [true]
[ro.boot.edtbo_offset]: [7381760]
[ro.boot.edtbo_ver]: [0]
[ro.boot.em.did]: [208af60e444d9011]
[ro.boot.em.model]: [SM-G996B]
[ro.boot.em.rdx_dump]: [false]
[ro.boot.em.status]: [0x0]
[ro.boot.emmc_checksum]: [3]
[ro.boot.fastbootd]: [false]
[ro.boot.fmp_config]: [0]
[ro.boot.force_normal_boot]: [0]
[ro.boot.force_upload]: [0x0]
[ro.boot.hardware]: [exynos2100]
[ro.boot.hdm_status]: [NONE]
[ro.boot.hmac_mismatch]: [0]
[ro.boot.im.param.offset]: [7342864]
[ro.boot.kg]: [0x6]
[ro.boot.kg.ap]: [bbbb00000000000000008af60e444d90]
[ro.boot.kg.bit]: [00]
[ro.boot.me.param.offset]: [7342944]
[ro.boot.pd.param.offset]: [7340644]
[ro.boot.phandle]: []
[ro.boot.pr.param.offset]: [7343104]
[ro.boot.prototype.param.offset]: [7351040]
[ro.boot.recovery_offset]: [7355136]
[ro.boot.revision]: [22]
[ro.boot.rp]: [19]
[ro.boot.sales.param.offset]: [7340568]
[ro.boot.sb.debug0]: [0x0,0x0,0x0,0x0]
[ro.boot.sec_atd.tty]: [/dev/ttySAC0]
[ro.boot.selinux]: [enforcing]
[ro.boot.serialno]: [RFCRA1PY67M]
[ro.boot.sku.param.offset]: [7343184]
[ro.boot.slavepcb]: [0]
[ro.boot.sn.param.offset]: [7343024]
[ro.boot.subpcb]: [0]
[ro.boot.svb.ver]: [SVB1.0]
[ro.boot.ucs_mode]: [0]
[ro.boot.ulcnt]: [75]
[ro.boot.verifiedbootstate]: [orange]
[ro.boot.warranty_bit]: [1]
[ro.boot.wb.hs]: [0e03]
[ro.boot.wb.snapQB]: [49855041R]
[ro.boot.wc.param.offset]: [7340632]
[ro.bootimage.build.date.utc]: [0]
[ro.bootloader]: [G996BXXSJHZC2]
[ro.bootmode]: [unknown]
[ro.boottime.adbd]: [5562047534]
[ro.boottime.health-hal-2-1]: [5560753149]
[ro.boottime.hwservicemanager]: [5552176726]
[ro.boottime.init]: [1357783845]
[ro.boottime.init.cold_boot_wait]: [115]
[ro.boottime.init.first_stage]: [4017457073]
[ro.boottime.init.modules]: [1962]
[ro.boottime.init.selinux]: [34862770]
[ro.boottime.logd]: [5548381688]
[ro.boottime.recovery]: [5559245265]
[ro.boottime.ueventd]: [5429602765]
[ro.boottime.vndservicemanager]: [5554289457]
[ro.boottime.watchdogd]: [5549990265]
[ro.build.characteristics]: [default]
[ro.build.date]: [Mon Mar 16 02:54:42 UTC 2026]
[ro.build.date.utc]: [0]
[ro.build.description]: [twrp_t2s-eng 99.87.36 SP2A.220405.004 eng.runner.20260316.025715 test-keys]
[ro.build.display.id]: [twrp_t2s-eng 99.87.36 SP2A.220405.004 eng.runner.20260316.025715 test-keys]
[ro.build.fingerprint]: [samsung/twrp_t2s/t2s:99.87.36/SP2A.220405.004/eng.runner.20260316.025715:eng/test-keys]
[ro.build.flavor]: [twrp_t2s-eng]
[ro.build.host]: [runnervm46oaq]
[ro.build.id]: [SP2A.220405.004]
[ro.build.product]: [t2s]
[ro.build.selinux]: [1]
[ro.build.tags]: [test-keys]
[ro.build.type]: [eng]
[ro.build.user]: [runner]
[ro.build.version.all_codenames]: [REL]
[ro.build.version.base_os]: []
[ro.build.version.codename]: [REL]
[ro.build.version.incremental]: [eng.runner.20260316.025715]
[ro.build.version.min_supported_target_sdk]: [23]
[ro.build.version.preview_sdk]: [0]
[ro.build.version.preview_sdk_fingerprint]: [REL]
[ro.build.version.release]: [99.87.36]
[ro.build.version.release_or_codename]: [99.87.36]
[ro.build.version.sdk]: [32]
[ro.build.version.security_patch]: [2099-12-31]
[ro.cold_boot_done]: [true]
[ro.dalvik.vm.native.bridge]: [0]
[ro.debuggable]: [1]
[ro.gsid.image_running]: [0]
[ro.hardware]: [exynos2100]
[ro.hwui.use_vulkan]: []
[ro.iorapd.enable]: [true]
[ro.kernel.android.checkjni]: [1]
[ro.kernel.version]: [5.4]
[ro.logd.kernel]: [true]
[ro.minui.overscan_percent]: [0]
[ro.minui.pixel_format]: [ABGR_8888]
[ro.odm.build.date]: [Mon Mar 16 02:54:42 UTC 2026]
[ro.odm.build.date.utc]: [0]
[ro.odm.build.fingerprint]: [samsung/twrp_t2s/t2s:99.87.36/SP2A.220405.004/runner03160254:eng/test-keys]
[ro.odm.build.id]: [SP2A.220405.004]
[ro.odm.build.tags]: [test-keys]
[ro.odm.build.type]: [eng]
[ro.odm.build.version.incremental]: [eng.runner.20260316.025715]
[ro.odm.build.version.release]: [99.87.36]
[ro.odm.build.version.release_or_codename]: [99.87.36]
[ro.odm.build.version.sdk]: [32]
[ro.odm.product.cpu.abilist]: [arm64-v8a]
[ro.odm.product.cpu.abilist32]: []
[ro.odm.product.cpu.abilist64]: [arm64-v8a]
[ro.postinstall.fstab.prefix]: [/system]
[ro.product.board]: [exynos2100]
[ro.product.brand]: [samsung]
[ro.product.build.date]: [Mon Mar 16 02:54:42 UTC 2026]
[ro.product.build.date.utc]: [0]
[ro.product.build.fingerprint]: [samsung/twrp_t2s/t2s:99.87.36/SP2A.220405.004/runner03160254:eng/test-keys]
[ro.product.build.id]: [SP2A.220405.004]
[ro.product.build.tags]: [test-keys]
[ro.product.build.type]: [eng]
[ro.product.build.version.incremental]: [eng.runner.20260316.025715]
[ro.product.build.version.release]: [99.87.36]
[ro.product.build.version.release_or_codename]: [99.87.36]
[ro.product.build.version.sdk]: [32]
[ro.product.cpu.abi]: [arm64-v8a]
[ro.product.cpu.abilist]: [arm64-v8a]
[ro.product.cpu.abilist32]: []
[ro.product.cpu.abilist64]: [arm64-v8a]
[ro.product.device]: [t2s]
[ro.product.first_api_level]: [30]
[ro.product.manufacturer]: [samsung]
[ro.product.model]: [SAMSUNG_t2s]
[ro.product.name]: [twrp_t2s]
[ro.product.odm.brand]: [samsung]
[ro.product.odm.device]: [t2s]
[ro.product.odm.manufacturer]: [samsung]
[ro.product.odm.model]: [SAMSUNG_t2s]
[ro.product.odm.name]: [twrp_t2s]
[ro.product.product.brand]: [samsung]
[ro.product.product.device]: [t2s]
[ro.product.product.manufacturer]: [samsung]
[ro.product.product.model]: [SAMSUNG_t2s]
[ro.product.product.name]: [twrp_t2s]
[ro.product.system.brand]: [samsung]
[ro.product.system.device]: [t2s]
[ro.product.system.manufacturer]: [samsung]
[ro.product.system.model]: [SAMSUNG_t2s]
[ro.product.system.name]: [twrp_t2s]
[ro.product.system_ext.brand]: [samsung]
[ro.product.system_ext.device]: [t2s]
[ro.product.system_ext.manufacturer]: [samsung]
[ro.product.system_ext.model]: [SAMSUNG_t2s]
[ro.product.system_ext.name]: [twrp_t2s]
[ro.product.vendor.brand]: [samsung]
[ro.product.vendor.device]: [t2s]
[ro.product.vendor.manufacturer]: [samsung]
[ro.product.vendor.model]: [SAMSUNG_t2s]
[ro.product.vendor.name]: [twrp_t2s]
[ro.product.vndk.version]: [32]
[ro.property_service.version]: [2]
[ro.revision]: [22]
[ro.secure]: [0]
[ro.serialno]: [RFCRA1PY67M]
[ro.system.build.date]: [Mon Mar 16 02:54:42 UTC 2026]
[ro.system.build.date.utc]: [0]
[ro.system.build.fingerprint]: [samsung/twrp_t2s/t2s:99.87.36/SP2A.220405.004/runner03160254:eng/test-keys]
[ro.system.build.id]: [SP2A.220405.004]
[ro.system.build.tags]: [test-keys]
[ro.system.build.type]: [eng]
[ro.system.build.version.incremental]: [eng.runner.20260316.025715]
[ro.system.build.version.release]: [99.87.36]
[ro.system.build.version.release_or_codename]: [99.87.36]
[ro.system.build.version.sdk]: [32]
[ro.system.product.cpu.abilist]: [arm64-v8a]
[ro.system.product.cpu.abilist32]: []
[ro.system.product.cpu.abilist64]: [arm64-v8a]
[ro.system_ext.build.date]: [Mon Mar 16 02:54:42 UTC 2026]
[ro.system_ext.build.date.utc]: [0]
[ro.system_ext.build.fingerprint]: [samsung/twrp_t2s/t2s:99.87.36/SP2A.220405.004/runner03160254:eng/test-keys]
[ro.system_ext.build.id]: [SP2A.220405.004]
[ro.system_ext.build.tags]: [test-keys]
[ro.system_ext.build.type]: [eng]
[ro.system_ext.build.version.incremental]: [eng.runner.20260316.025715]
[ro.system_ext.build.version.release]: [99.87.36]
[ro.system_ext.build.version.release_or_codename]: [99.87.36]
[ro.system_ext.build.version.sdk]: [32]
[ro.treble.enabled]: [true]
[ro.twrp.boot]: [1]
[ro.twrp.fastbootd]: [0]
[ro.twrp.version]: [3.7.1_12-Chiclet_v2]
[ro.vendor.build.date]: [Mon Mar 16 02:54:42 UTC 2026]
[ro.vendor.build.date.utc]: [0]
[ro.vendor.build.fingerprint]: [samsung/twrp_t2s/t2s:99.87.36/SP2A.220405.004/runner03160254:eng/test-keys]
[ro.vendor.build.id]: [SP2A.220405.004]
[ro.vendor.build.security_patch]: [2099-12-31]
[ro.vendor.build.tags]: [test-keys]
[ro.vendor.build.type]: [eng]
[ro.vendor.build.version.incremental]: [eng.runner.20260316.025715]
[ro.vendor.build.version.release]: [99.87.36]
[ro.vendor.build.version.release_or_codename]: [99.87.36]
[ro.vendor.build.version.sdk]: [32]
[ro.vendor.product.cpu.abilist]: [arm64-v8a]
[ro.vendor.product.cpu.abilist32]: []
[ro.vendor.product.cpu.abilist64]: [arm64-v8a]
[ro.vndk.version]: [32]
[ro.wifi.channels]: []
[ro.zygote]: [zygote64]
[service.adb.root]: [1]
[sys.init.perf_lsm_hooks]: [1]
[sys.usb.config]: [mtp,adb]
[sys.usb.configfs]: [1]
[sys.usb.controller]: [10e00000.usb]
[sys.usb.ffs.mtp.ready]: [1]
[sys.usb.ffs.ready]: [1]
[sys.usb.state]: [mtp,adb]
[twrp.action_complete]: [0]
[twrp.crash_counter]: [0]
[twrp.super.symlinks_created]: [true]


